cafe_id,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,설명,메뉴,키워드,위도,경도,beverage,dessert,various_menu,special_menu,large_store,background,parking,talking,concentration,trendy_store,low_price,high_price,gift_packaging,common_keywords
1,대명6동 하늘아래,하늘아래사진관,0.0,1,1,대구 남구 계명중앙1길 19,11:00 - 22:00,,NO INFO,업데이트 예정,{},35.856556,128.5810425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,대명1동 호미,호미화방,4.64,55,0,대구 남구 계명중앙1길 28,,053-622-3749,NO INFO,업데이트 예정,{},35.8560803,128.5813887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,봉덕2동 라벨라마띠나,라벨라마띠나,4.92,14,0,대구 남구 대덕로40길 80-18,10:00 - 21:00,0507-1362-3111,NO INFO,업데이트 예정,{},35.837272,128.6035991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,대명6동 운남차정,운남차정,4.76,204,219,대구 남구 대명남로 115,12:00 - 22:00,053-526-0029,운남차정 [구름의 남쪽 차마시는 뜰] 대구 앞산에 위치한 계절의 풍미를 담은 차한잔의 여유를 제 공하는 도심속 작은정원 운남차정입니다. ...,업데이트 예정,{},35.8351135,128.5708865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,대명4동 빵장수단팥빵 카페소담 대명점,빵장수단팥빵카페 소담대명점,0.0,118,56,대구 남구 대명로 125,08:00 - 22:00,070-8287-1450,NO INFO,업데이트 예정,{},35.839669,128.5715361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,대명1동 앞산밑북카페,앞산밑 북카페,0.0,9,6,대구 남구 대명로 182,,053-622-1900,NO INFO,업데이트 예정,{},35.8388139,128.5777313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,대명1동 맨리스커세권 현충로점,맨리스커세권 현충로점,0.0,1,1,대구 남구 대명로 206 1층,00:00 - 24:00,0507-1424-8279,"대구 남구 대명 현충로역 2번으로 나와 앞산네거리 횡단보도 앞에 위치해 있습니다!
인건비를 절감하여 커피와 음료의 품질에 신경을 많이 썼습니다!
쾌적한 환경과 아늑한 인테리어로 편안한 티타임을 즐기시기 좋습니다!",업데이트 예정,{},35.8399396,128.580259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,대명5동 스테이어스,스테이어스,0.0,11,9,대구 남구 대명로 299-1 2층,11:00 - 22:00,0507-1382-0151,"개인카페, 신상카페, 분위기 좋은카페, 커피가 맛있는 카페입니다. 유기농 설탕을 사용하여 만든 수제청을 이용하여 에이드를 만들고 있어서, 달지도 인공적이지도 않은 상큼한 에이드 맛을 보실수 있으실 거에요..! 또한, 최고급 원두를 사용하고 있어서, 저렴한 가격에 맛있는 커피를 맛보실 수 있습니다.
귀여운 소품들을 보면서 커피한잔 즐기지 않으실래요~?",업데이트 예정,{},35.8448089,128.5886653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,대명10동 카페봄봄 대명역점,카페봄봄 대명역점,0.0,5,1,대구 남구 대명로 69 102동 106호,,0507-1399-8171,"Cafe 봄봄은 모든 연령대가 즐길 수 있는 매장입니다.
Cafe 봄봄에서 따스하고 산뜻한 봄을 한 잔 마시고, 잠시 여유를 가져 보길 바라는 마음입니다.",업데이트 예정,{},35.839569,128.5654895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,대명4동 카페신선25,카페신선25,0.0,2,51,대구 남구 대명로19길 26 1층,,0507-1339-1674,"안녕하세요. 이름값하는 카페, 신선25입니다. 카 페 신선의 모든 음식은 사랑하는 사람이 먹는다 는 생각으로 좋은 재료를 아낌없이 담아 ...",업데이트 예정,{},35.8407782,128.5678573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,대명6동 미르커피,미르커피 대명초등학교점,4.5,25,0,대구 남구 대명로20길 8,,053-622-5854,NO INFO,업데이트 예정,{},35.83902399999999,128.5678146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,대명4동 까페소울,카페소울,4.24,30,0,대구 남구 대명로25길 23-2 까페소울,10:00 - 20:00,0507-1311-9058,"까페소울은 제철커피로 신선한 커피를 제공합니다. 매장에서 직접 로스팅한 원두로 
더치커피(콜드브루), 싱글오리진 원두를 판매합니다. 로스팅 포인트는 약배전, 미디엄 중약배전으로 미디엄 로스팅이 주포인트입니다!
여름한시적으로 우유눈꽃빙수를 판매하는 로스터리 까페입니다^^",업데이트 예정,{},35.8406587,128.5713365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,대명11동 하마카페,하마카페,4.78,35,30,대구 남구 대명복개로1길 43,11:30 - 00:30,0507-1485-0067,"안녕하세요 HAMA 카페 & 떡볶이 입니다.
서민 음식 떡볶이를 좀 더 맛있고 착한 가격에 고급진 맛으로 드실수 있도록 많이 고민하며 연구하여 준비하였습니다.

* 하마 떡볶이는 무채를 넣어 국물맛이 텁텁하지 않고 양념이 속 베인 무우를 건져드시는것도 색다른 맛을 보실 수 있습니다.

* 하마잡채떡볶이는 잡채를 좋아하는 가족이 떡볶이와 함께 먹을 때마다 감탄하던 그맛을 그대로 옮겨 보았습니다. 밥도둑이 따로 없습니다 ^^

* 하마 로제 떡볶이는 고급요리임을 자부합니다.
생크림이나 휘핑을 사용하지 않고 토마토베이스에 우유를 이용하여 살이 찌는걸 무지 싫어하면서 떡볶이를 사랑하는 이땅에 모든 딸들에 맘을 헤아려 건강한 맛을 추구하였습니다. 매콤한 로제소스에 밥을 비벼드시면 눈에서 별이 반짝 ,,, 입꼬리는 아침에 둥근 해가 활짝 올라올것입니다 ㅎ ㅎ 
( 맵기 조절은 순한맛, 보통맛, 매운맛 가능 합니다 )

* 하마카페에는 밀크쉐이크와 새콤달콤한 요거트 스무디, 달달한 수제에이드, 쌉쌀한 커피는 떡볶이와 찰떡궁합에 맛을 보장합니다. 
카페음료도 착한 가격으로 넉넉히 드리고자 노력하였습니다. 
옛날팥빙수도 색다른 토핑으로 한번 드셔보시기 바랍니다.",업데이트 예정,{},35.8414596,128.5609407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,대명11동 새벽별,새벽별,0.0,10,13,대구 남구 대명복개로4길 65-6,09:00 - 18:00,010-2407-1105,기존 주택카페를 화이트와 우드 느낌으로 리모델 링하여 새벽별이라는 이름으로 찾아뵙게 되었습 니다. 어두운 밤에 빛나는 별처럼 한 분 한 ...,업데이트 예정,{},35.8400508,128.5634143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,송현1동 일로아,일로아,0.0,6,4,대구 남구 대명서로 91 1층 일로아 (대구광역시 남구 대명동 1580-9 1층 일로아),"11:00 - 21:00
20:45 라스트오더",053-625-4388,일상속 소소한 기쁨. 커피와 디저트 메뉴를 판매하고 있어요.,업데이트 예정,{},35.8323334,128.5590818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,대명4동 커피루카스,커피루카스,4.5,75,22,대구 남구 대명서안길 34 커피루카스,11:00 - 22:00,0507-1353-9020,한잔에 맛있는커피를 내리기 위해 항상 노력하는 커피 루카스입니다,업데이트 예정,{},35.8338624,128.5575771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
